timesteps,total_kwh
2015-01-01 00:00:00,5.043161535
2015-01-01 01:00:00,5.06226442
2015-01-01 02:00:00,5.081367304
2015-01-01 03:00:00,4.928544227
2015-01-01 04:00:00,4.56558942
2015-01-01 05:00:00,5.234190381
2015-01-01 06:00:00,6.323054803
2015-01-01 07:00:00,31.95912594
2015-01-01 08:00:00,81.37828841
2015-01-01 09:00:00,100.2138913
2015-01-01 10:00:00,141.2598461
2015-01-01 11:00:00,122.4245094
2015-01-01 12:00:00,102.2008355
2015-01-01 13:00:00,61.415774
2015-01-01 14:00:00,59.39086823
2015-01-01 15:00:00,65.63751149
2015-01-01 16:00:00,53.67910573
2015-01-01 17:00:00,33.3727394
2015-01-01 18:00:00,18.26235768
2015-01-01 19:00:00,84.57949615
2015-01-01 20:00:00,81.06225673
2015-01-01 21:00:00,37.16921538
2015-01-01 22:00:00,13.23066538
2015-01-01 23:00:00,13.1064875
2015-01-02 00:00:00,12.70502692
2015-01-02 01:00:00,12.78123846
2015-01-02 02:00:00,12.80004134
2015-01-02 03:00:00,12.57060673
2015-01-02 04:00:00,12.55120384
2015-01-02 05:00:00,12.95206442
2015-01-02 06:00:00,13.353025
2015-01-02 07:00:00,38.27814519
2015-01-02 08:00:00,7.354610572
2015-01-02 09:00:00,53.33626538
2015-01-02 10:00:00,91.83065442
2015-01-02 11:00:00,78.31338115
2015-01-02 12:00:00,55.87095672
2015-01-02 13:00:00,29.92969711
2015-01-02 14:00:00,23.32008365
2015-01-02 15:00:00,6.571392303
2015-01-02 16:00:00,6.284849034
2015-01-02 17:00:00,6.303951919
2015-01-02 18:00:00,52.50918653
2015-01-02 19:00:00,79.90018653
2015-01-02 20:00:00,67.4424375
2015-01-02 21:00:00,5.329704804
2015-01-02 22:00:00,5.215087496
2015-01-02 23:00:00,5.329704804
2015-01-03 00:00:00,4.794824035
2015-01-03 01:00:00,4.890338458
2015-01-03 02:00:00,4.909441343
2015-01-03 03:00:00,4.680206728
2015-01-03 04:00:00,4.661103843
2015-01-03 05:00:00,5.06226442
2015-01-03 06:00:00,78.88352788
2015-01-03 07:00:00,78.78901346
2015-01-03 08:00:00,5.597145189
2015-01-03 09:00:00,33.0074798
2015-01-03 10:00:00,53.10154538
2015-01-03 11:00:00,68.70530577
2015-01-03 12:00:00,33.09151154
2015-01-03 13:00:00,5.539836535
2015-01-03 14:00:00,5.558939419
2015-01-03 15:00:00,5.998305765
2015-01-03 16:00:00,6.189334611
2015-01-03 17:00:00,6.074717304
2015-01-03 18:00:00,59.2763923
2015-01-03 19:00:00,79.93528942
2015-01-03 20:00:00,61.17502596
2015-01-03 21:00:00,5.807276919
2015-01-03 22:00:00,5.387013458
2015-01-03 23:00:00,5.27239615
2015-01-04 00:00:00,5.043161535
2015-01-04 01:00:00,5.06226442
2015-01-04 02:00:00,5.081367304
2015-01-04 03:00:00,4.928544227
2015-01-04 04:00:00,4.56558942
2015-01-04 05:00:00,78.38519038
2015-01-04 06:00:00,79.7250548
2015-01-04 07:00:00,105.3621259
2015-01-04 08:00:00,81.37828841
2015-01-04 09:00:00,162.7725913
2015-01-04 10:00:00,125.1739461
2015-01-04 11:00:00,124.0121894
2015-01-04 12:00:00,97.11083552
2015-01-04 13:00:00,78.286774
2015-01-04 14:00:00,66.29096823
2015-01-04 15:00:00,65.63751149
2015-01-04 16:00:00,75.68010573
2015-01-04 17:00:00,33.3727394
2015-01-04 18:00:00,18.26235768
2015-01-04 19:00:00,18.78459615
2015-01-04 20:00:00,15.72515673
2015-01-04 21:00:00,14.78891538
2015-01-04 22:00:00,13.79536538
2015-01-04 23:00:00,13.2793875
2015-01-05 00:00:00,13.10726154
2015-01-05 01:00:00,13.12626442
2015-01-05 02:00:00,13.1451673
2015-01-05 03:00:00,75.41454423
2015-01-05 04:00:00,76.02258942
2015-01-05 05:00:00,78.46019038
2015-01-05 06:00:00,79.7250548
2015-01-05 07:00:00,105.3621259
2015-01-05 08:00:00,81.37828841
2015-01-05 09:00:00,130.6181513
2015-01-05 10:00:00,168.7038461
2015-01-05 11:00:00,139.7806894
2015-01-05 12:00:00,88.68003552
2015-01-05 13:00:00,61.415774
2015-01-05 14:00:00,59.39086823
2015-01-05 15:00:00,65.63751149
2015-01-05 16:00:00,53.67910573
2015-01-05 17:00:00,33.3727394
2015-01-05 18:00:00,70.96435768
2015-01-05 19:00:00,84.60449615
2015-01-05 20:00:00,81.00025673
2015-01-05 21:00:00,16.42901538
2015-01-05 22:00:00,13.89886538
2015-01-05 23:00:00,12.8629875
2015-01-06 00:00:00,12.63196154
2015-01-06 01:00:00,12.63216442
2015-01-06 02:00:00,12.6332673
2015-01-06 03:00:00,12.47974423
2015-01-06 04:00:00,12.11668942
2015-01-06 05:00:00,12.78519038
2015-01-06 06:00:00,14.3871548
2015-01-06 07:00:00,40.02292594
2015-01-06 08:00:00,89.44188841
2015-01-06 09:00:00,100.2161913
2015-01-06 10:00:00,137.9558461
2015-01-06 11:00:00,140.5556594
2015-01-06 12:00:00,153.7708355
2015-01-06 13:00:00,134.822774
2015-01-06 14:00:00,65.42516823
2015-01-06 15:00:00,65.63751149
2015-01-06 16:00:00,53.67910573
2015-01-06 17:00:00,33.3727394
2015-01-06 18:00:00,18.26235768
2015-01-06 19:00:00,11.23249615
2015-01-06 20:00:00,7.660256726
2015-01-06 21:00:00,6.72421538
2015-01-06 22:00:00,5.73086538
2015-01-06 23:00:00,5.215087496
2015-01-07 00:00:00,5.043161535
2015-01-07 01:00:00,5.06226442
2015-01-07 02:00:00,5.081367304
2015-01-07 03:00:00,4.928544227
2015-01-07 04:00:00,4.56558942
2015-01-07 05:00:00,5.234190381
2015-01-07 06:00:00,6.323054803
2015-01-07 07:00:00,31.95912594
2015-01-07 08:00:00,81.37828841
2015-01-07 09:00:00,93.31759128
2015-01-07 10:00:00,91.69384609
2015-01-07 11:00:00,89.99368936
2015-01-07 12:00:00,80.36583552
2015-01-07 13:00:00,61.415774
2015-01-07 14:00:00,59.39086823
2015-01-07 15:00:00,65.63751149
2015-01-07 16:00:00,53.67910573
2015-01-07 17:00:00,33.3727394
2015-01-07 18:00:00,18.26235768
2015-01-07 19:00:00,11.23249615
2015-01-07 20:00:00,7.660256726
2015-01-07 21:00:00,6.72421538
2015-01-07 22:00:00,5.73086538
2015-01-07 23:00:00,5.215087496
2015-01-08 00:00:00,5.043161535
2015-01-08 01:00:00,5.06226442
2015-01-08 02:00:00,5.081367304
2015-01-08 03:00:00,4.928544227
2015-01-08 04:00:00,4.56558942
2015-01-08 05:00:00,5.234190381
2015-01-08 06:00:00,6.323054803
2015-01-08 07:00:00,31.95912594
2015-01-08 08:00:00,81.37828841
2015-01-08 09:00:00,146.2815913
2015-01-08 10:00:00,168.7098461
2015-01-08 11:00:00,100.2236894
2015-01-08 12:00:00,80.36583552
2015-01-08 13:00:00,61.415774
2015-01-08 14:00:00,59.39086823
2015-01-08 15:00:00,65.63751149
2015-01-08 16:00:00,53.67910573
2015-01-08 17:00:00,33.3727394
2015-01-08 18:00:00,18.26235768
2015-01-08 19:00:00,84.57649615
2015-01-08 20:00:00,81.06125673
2015-01-08 21:00:00,38.75721538
2015-01-08 22:00:00,13.69066538
2015-01-08 23:00:00,12.8295875
2015-01-09 00:00:00,12.37672692
2015-01-09 01:00:00,12.44523846
2015-01-09 02:00:00,12.46184134
2015-01-09 03:00:00,12.23170673
2015-01-09 04:00:00,12.21190384
2015-01-09 05:00:00,12.61266442
2015-01-09 06:00:00,13.013525
2015-01-09 07:00:00,51.82014519
2015-01-09 08:00:00,7.354610572
2015-01-09 09:00:00,16.60056538
2015-01-09 10:00:00,17.91806442
2015-01-09 11:00:00,53.18092115
2015-01-09 12:00:00,42.76925672
2015-01-09 13:00:00,42.40369711
2015-01-09 14:00:00,39.03418365
2015-01-09 15:00:00,6.571392303
2015-01-09 16:00:00,28.26627903
2015-01-09 17:00:00,28.30495192
2015-01-09 18:00:00,28.53418653
2015-01-09 19:00:00,14.11328653
2015-01-09 20:00:00,13.7671375
2015-01-09 21:00:00,12.8854048
2015-01-09 22:00:00,12.7684875
2015-01-09 23:00:00,12.8823048
2015-01-10 00:00:00,12.34712404
2015-01-10 01:00:00,12.44253846
2015-01-10 02:00:00,12.46154134
2015-01-10 03:00:00,30.63020673
2015-01-10 04:00:00,77.82210384
2015-01-10 05:00:00,78.44626442
2015-01-10 06:00:00,78.88452788
2015-01-10 07:00:00,78.79001346
2015-01-10 08:00:00,5.597145189
2015-01-10 09:00:00,44.0193798
2015-01-10 10:00:00,82.73986538
2015-01-10 11:00:00,59.97630577
2015-01-10 12:00:00,24.13451154
2015-01-10 13:00:00,5.539836535
2015-01-10 14:00:00,5.558939419
2015-01-10 15:00:00,5.998305765
2015-01-10 16:00:00,6.189334611
2015-01-10 17:00:00,6.074717304
2015-01-10 18:00:00,59.2743923
2015-01-10 19:00:00,79.92828942
2015-01-10 20:00:00,62.68302596
2015-01-10 21:00:00,5.807276919
2015-01-10 22:00:00,5.387013458
2015-01-10 23:00:00,5.27239615
2015-01-11 00:00:00,5.043161535
2015-01-11 01:00:00,5.06226442
2015-01-11 02:00:00,5.081367304
2015-01-11 03:00:00,4.928544227
2015-01-11 04:00:00,4.56558942
2015-01-11 05:00:00,78.29319038
2015-01-11 06:00:00,79.7250548
2015-01-11 07:00:00,105.3621259
2015-01-11 08:00:00,81.37828841
2015-01-11 09:00:00,93.31759128
2015-01-11 10:00:00,190.7008461
2015-01-11 11:00:00,172.7406894
2015-01-11 12:00:00,112.5988355
2015-01-11 13:00:00,83.416774
2015-01-11 14:00:00,67.66396823
2015-01-11 15:00:00,87.63859149
2015-01-11 16:00:00,75.68110573
2015-01-11 17:00:00,33.3727394
2015-01-11 18:00:00,70.96435768
2015-01-11 19:00:00,84.60449615
2015-01-11 20:00:00,7.660256726
2015-01-11 21:00:00,6.72421538
2015-01-11 22:00:00,5.73086538
2015-01-11 23:00:00,5.215087496
2015-01-12 00:00:00,5.043161535
2015-01-12 01:00:00,5.06226442
2015-01-12 02:00:00,5.081367304
2015-01-12 03:00:00,4.928544227
2015-01-12 04:00:00,55.31058942
2015-01-12 05:00:00,75.90419038
2015-01-12 06:00:00,79.7250548
2015-01-12 07:00:00,105.3621259
2015-01-12 08:00:00,81.37828841
2015-01-12 09:00:00,93.31759128
2015-01-12 10:00:00,133.5049161
2015-01-12 11:00:00,150.0970594
2015-01-12 12:00:00,100.2648355
2015-01-12 13:00:00,75.521774
2015-01-12 14:00:00,59.39086823
2015-01-12 15:00:00,65.63751149
2015-01-12 16:00:00,53.67910573
2015-01-12 17:00:00,33.3727394
2015-01-12 18:00:00,64.60635768
2015-01-12 19:00:00,53.67749615
2015-01-12 20:00:00,17.86325673
2015-01-12 21:00:00,15.05011538
2015-01-12 22:00:00,13.52726538
2015-01-12 23:00:00,12.7687875
2015-01-13 00:00:00,13.10286154
2015-01-13 01:00:00,13.12176442
2015-01-13 02:00:00,13.1406673
2015-01-13 03:00:00,12.98764423
2015-01-13 04:00:00,12.62448942
2015-01-13 05:00:00,13.29279038
2015-01-13 06:00:00,14.3814548
2015-01-13 07:00:00,40.01732594
2015-01-13 08:00:00,89.43625841
2015-01-13 09:00:00,155.6365913
2015-01-13 10:00:00,165.0958461
2015-01-13 11:00:00,163.3966894
2015-01-13 12:00:00,153.7708355
2015-01-13 13:00:00,79.328774
2015-01-13 14:00:00,59.39086823
2015-01-13 15:00:00,65.63751149
2015-01-13 16:00:00,53.67910573
2015-01-13 17:00:00,33.3727394
2015-01-13 18:00:00,18.26235768
2015-01-13 19:00:00,11.23249615
2015-01-13 20:00:00,7.660256726
2015-01-13 21:00:00,6.72421538
2015-01-13 22:00:00,5.73086538
2015-01-13 23:00:00,5.215087496
2015-01-14 00:00:00,5.043161535
2015-01-14 01:00:00,5.06226442
2015-01-14 02:00:00,5.081367304
2015-01-14 03:00:00,4.928544227
2015-01-14 04:00:00,4.56558942
2015-01-14 05:00:00,5.234190381
2015-01-14 06:00:00,6.323054803
2015-01-14 07:00:00,31.95912594
2015-01-14 08:00:00,81.37828841
2015-01-14 09:00:00,103.3525913
2015-01-14 10:00:00,110.0958461
2015-01-14 11:00:00,98.82418936
2015-01-14 12:00:00,80.36583552
2015-01-14 13:00:00,61.415774
2015-01-14 14:00:00,59.39086823
2015-01-14 15:00:00,65.63751149
2015-01-14 16:00:00,53.67910573
2015-01-14 17:00:00,33.3727394
2015-01-14 18:00:00,18.26235768
2015-01-14 19:00:00,11.23249615
2015-01-14 20:00:00,7.660256726
2015-01-14 21:00:00,6.72421538
2015-01-14 22:00:00,5.73086538
2015-01-14 23:00:00,5.215087496
2015-01-15 00:00:00,5.043161535
2015-01-15 01:00:00,5.06226442
2015-01-15 02:00:00,5.081367304
2015-01-15 03:00:00,4.928544227
2015-01-15 04:00:00,4.56558942
2015-01-15 05:00:00,5.234190381
2015-01-15 06:00:00,6.323054803
2015-01-15 07:00:00,31.95912594
2015-01-15 08:00:00,81.37828841
2015-01-15 09:00:00,155.1965913
2015-01-15 10:00:00,168.7098461
2015-01-15 11:00:00,100.2166894
2015-01-15 12:00:00,80.36583552
2015-01-15 13:00:00,61.415774
2015-01-15 14:00:00,59.39086823
2015-01-15 15:00:00,65.63751149
2015-01-15 16:00:00,53.67910573
2015-01-15 17:00:00,33.3727394
2015-01-15 18:00:00,18.26235768
2015-01-15 19:00:00,84.60049615
2015-01-15 20:00:00,81.06125673
2015-01-15 21:00:00,42.20421538
2015-01-15 22:00:00,14.67976538
2015-01-15 23:00:00,13.1270875
2015-01-16 00:00:00,12.46812692
2015-01-16 01:00:00,12.49283846
2015-01-16 02:00:00,12.46644134
2015-01-16 03:00:00,12.23350673
2015-01-16 04:00:00,12.21210384
2015-01-16 05:00:00,12.61286442
2015-01-16 06:00:00,13.013925
2015-01-16 07:00:00,71.90014519
2015-01-16 08:00:00,7.354610572
2015-01-16 09:00:00,108.6982654
2015-01-16 10:00:00,66.03336442
2015-01-16 11:00:00,42.97282115
2015-01-16 12:00:00,31.64795672
2015-01-16 13:00:00,29.92969711
2015-01-16 14:00:00,6.514083649
2015-01-16 15:00:00,6.571392303
2015-01-16 16:00:00,6.284849034
2015-01-16 17:00:00,6.303951919
2015-01-16 18:00:00,52.50918653
2015-01-16 19:00:00,79.90218653
2015-01-16 20:00:00,79.5624375
2015-01-16 21:00:00,13.2058048
2015-01-16 22:00:00,12.9775875
2015-01-16 23:00:00,12.9787048
2015-01-17 00:00:00,12.39592404
2015-01-17 01:00:00,12.44593846
2015-01-17 02:00:00,12.46134134
2015-01-17 03:00:00,12.23180673
2015-01-17 04:00:00,12.21240384
2015-01-17 05:00:00,12.61346442
2015-01-17 06:00:00,31.43452788
2015-01-17 07:00:00,78.79001346
2015-01-17 08:00:00,5.597145189
2015-01-17 09:00:00,82.8343798
2015-01-17 10:00:00,82.74586538
2015-01-17 11:00:00,37.49530577
2015-01-17 12:00:00,6.036511536
2015-01-17 13:00:00,5.539836535
2015-01-17 14:00:00,5.558939419
2015-01-17 15:00:00,5.998305765
2015-01-17 16:00:00,6.189334611
2015-01-17 17:00:00,6.074717304
2015-01-17 18:00:00,59.2753923
2015-01-17 19:00:00,79.93128942
2015-01-17 20:00:00,71.71002596
2015-01-17 21:00:00,5.807276919
2015-01-17 22:00:00,5.387013458
2015-01-17 23:00:00,5.27239615
2015-01-18 00:00:00,5.043161535
2015-01-18 01:00:00,5.06226442
2015-01-18 02:00:00,5.081367304
2015-01-18 03:00:00,4.928544227
2015-01-18 04:00:00,4.56558942
2015-01-18 05:00:00,60.23519038
2015-01-18 06:00:00,79.7250548
2015-01-18 07:00:00,105.3621259
2015-01-18 08:00:00,81.37828841
2015-01-18 09:00:00,179.4245913
2015-01-18 10:00:00,146.7038461
2015-01-18 11:00:00,127.0396894
2015-01-18 12:00:00,102.3668355
2015-01-18 13:00:00,69.695874
2015-01-18 14:00:00,68.04596823
2015-01-18 15:00:00,73.91761149
2015-01-18 16:00:00,53.67910573
2015-01-18 17:00:00,33.3727394
2015-01-18 18:00:00,70.96635768
2015-01-18 19:00:00,84.61049615
2015-01-18 20:00:00,63.48825673
2015-01-18 21:00:00,6.72421538
2015-01-18 22:00:00,5.73086538
2015-01-18 23:00:00,5.215087496
2015-01-19 00:00:00,5.043161535
2015-01-19 01:00:00,5.06226442
2015-01-19 02:00:00,5.081367304
2015-01-19 03:00:00,4.928544227
2015-01-19 04:00:00,4.56558942
2015-01-19 05:00:00,78.63519038
2015-01-19 06:00:00,79.7250548
2015-01-19 07:00:00,105.3621259
2015-01-19 08:00:00,81.37828841
2015-01-19 09:00:00,147.8589613
2015-01-19 10:00:00,168.7068461
2015-01-19 11:00:00,138.8426894
2015-01-19 12:00:00,80.36583552
2015-01-19 13:00:00,61.415774
2015-01-19 14:00:00,59.39086823
2015-01-19 15:00:00,65.63751149
2015-01-19 16:00:00,53.67910573
2015-01-19 17:00:00,33.3727394
2015-01-19 18:00:00,70.96535768
2015-01-19 19:00:00,84.60649615
2015-01-19 20:00:00,81.00325673
2015-01-19 21:00:00,15.81421538
2015-01-19 22:00:00,13.34806538
2015-01-19 23:00:00,12.7691875
2015-01-20 00:00:00,12.59596154
2015-01-20 01:00:00,12.61426442
2015-01-20 02:00:00,12.6330673
2015-01-20 03:00:00,12.48004423
2015-01-20 04:00:00,12.62998942
2015-01-20 05:00:00,13.29829038
2015-01-20 06:00:00,14.3869548
2015-01-20 07:00:00,40.02272594
2015-01-20 08:00:00,89.44158841
2015-01-20 09:00:00,135.8215913
2015-01-20 10:00:00,162.1476061
2015-01-20 11:00:00,163.3986894
2015-01-20 12:00:00,153.7728355
2015-01-20 13:00:00,61.415774
2015-01-20 14:00:00,59.39086823
2015-01-20 15:00:00,65.63751149
2015-01-20 16:00:00,53.67910573
2015-01-20 17:00:00,33.3727394
2015-01-20 18:00:00,18.26235768
2015-01-20 19:00:00,11.23249615
2015-01-20 20:00:00,7.660256726
2015-01-20 21:00:00,6.72421538
2015-01-20 22:00:00,5.73086538
2015-01-20 23:00:00,5.215087496
2015-01-21 00:00:00,5.043161535
2015-01-21 01:00:00,5.06226442
2015-01-21 02:00:00,5.081367304
2015-01-21 03:00:00,4.928544227
2015-01-21 04:00:00,4.56558942
2015-01-21 05:00:00,5.234190381
2015-01-21 06:00:00,6.323054803
2015-01-21 07:00:00,31.95912594
2015-01-21 08:00:00,81.37828841
2015-01-21 09:00:00,93.31759128
2015-01-21 10:00:00,91.69384609
2015-01-21 11:00:00,89.99368936
2015-01-21 12:00:00,80.36583552
2015-01-21 13:00:00,61.415774
2015-01-21 14:00:00,59.39086823
2015-01-21 15:00:00,65.63751149
2015-01-21 16:00:00,53.67910573
2015-01-21 17:00:00,33.3727394
2015-01-21 18:00:00,18.26235768
2015-01-21 19:00:00,11.23249615
2015-01-21 20:00:00,7.660256726
2015-01-21 21:00:00,6.72421538
2015-01-21 22:00:00,5.73086538
2015-01-21 23:00:00,5.215087496
2015-01-22 00:00:00,5.043161535
2015-01-22 01:00:00,5.06226442
2015-01-22 02:00:00,5.081367304
2015-01-22 03:00:00,4.928544227
2015-01-22 04:00:00,4.56558942
2015-01-22 05:00:00,5.234190381
2015-01-22 06:00:00,6.323054803
2015-01-22 07:00:00,31.95912594
2015-01-22 08:00:00,81.37828841
2015-01-22 09:00:00,170.3275913
2015-01-22 10:00:00,152.4388461
2015-01-22 11:00:00,100.2296894
2015-01-22 12:00:00,80.36583552
2015-01-22 13:00:00,61.415774
2015-01-22 14:00:00,59.39086823
2015-01-22 15:00:00,65.63751149
2015-01-22 16:00:00,53.67910573
2015-01-22 17:00:00,33.3727394
2015-01-22 18:00:00,18.26235768
2015-01-22 19:00:00,84.57749615
2015-01-22 20:00:00,81.06125673
2015-01-22 21:00:00,49.27021538
2015-01-22 22:00:00,16.68786538
2015-01-22 23:00:00,13.0520875
2015-01-23 00:00:00,12.47152692
2015-01-23 01:00:00,12.44113846
2015-01-23 02:00:00,12.96964134
2015-01-23 03:00:00,12.74010673
