Time,Charge of the electric vehicle (PV System) 
,kWh
01.01. 00:00,0
01.01. 01:00,0
01.01. 02:00,0
01.01. 03:00,0
01.01. 04:00,0
01.01. 05:00,0
01.01. 06:00,0
01.01. 07:00,0
01.01. 08:00,0
01.01. 09:00,6.8963
01.01. 10:00,49.566
01.01. 11:00,32.43082
01.01. 12:00,21.835
01.01. 13:00,0
01.01. 14:00,0
01.01. 15:00,0
01.01. 16:00,0
01.01. 17:00,0
01.01. 18:00,0
01.01. 19:00,73.347
01.01. 20:00,73.402
01.01. 21:00,30.445
01.01. 22:00,7.4998
01.01. 23:00,7.8914
02.01. 00:00,7.8911
02.01. 01:00,7.8909
02.01. 02:00,7.8906
02.01. 03:00,7.8904
02.01. 04:00,7.8901
02.01. 05:00,7.8898
02.01. 06:00,7.8896
02.01. 07:00,32.681
02.01. 08:00,0
02.01. 09:00,43.632
02.01. 10:00,80.80829
02.01. 11:00,67.57756
02.01. 12:00,46.224
02.01. 13:00,22.002
02.01. 14:00,16.806
02.01. 15:00,0
02.01. 16:00,0
02.01. 17:00,0
02.01. 18:00,45.976
02.01. 19:00,73.367
02.01. 20:00,61.234
02.01. 21:00,0
02.01. 22:00,0
02.01. 23:00,0
03.01. 00:00,0
03.01. 01:00,0
03.01. 02:00,0
03.01. 03:00,0
03.01. 04:00,0
03.01. 05:00,0
03.01. 06:00,73.401
03.01. 07:00,73.402
03.01. 08:00,0
03.01. 09:00,27.1811
03.01. 10:00,47.37068
03.01. 11:00,62.707
03.01. 12:00,27.055
03.01. 13:00,0
03.01. 14:00,0
03.01. 15:00,0
03.01. 16:00,0
03.01. 17:00,0
03.01. 18:00,52.705
03.01. 19:00,73.383
03.01. 20:00,55.043
03.01. 21:00,0
03.01. 22:00,0
03.01. 23:00,0
04.01. 00:00,0
04.01. 01:00,0
04.01. 02:00,0
04.01. 03:00,0
04.01. 04:00,0
04.01. 05:00,73.151
04.01. 06:00,73.402
04.01. 07:00,73.403
04.01. 08:00,0
04.01. 09:00,69.455
04.01. 10:00,33.4801
04.01. 11:00,34.0185
04.01. 12:00,16.745
04.01. 13:00,16.871
04.01. 14:00,6.9001
04.01. 15:00,0
04.01. 16:00,22.001
04.01. 17:00,0
04.01. 18:00,0
04.01. 19:00,7.5521
04.01. 20:00,8.0649
04.01. 21:00,8.0647
04.01. 22:00,8.0645
04.01. 23:00,8.0643
05.01. 00:00,8.0641
05.01. 01:00,8.064
05.01. 02:00,8.0638
05.01. 03:00,70.486
05.01. 04:00,71.457
05.01. 05:00,73.226
05.01. 06:00,73.402
05.01. 07:00,73.403
05.01. 08:00,0
05.01. 09:00,37.30056
05.01. 10:00,77.01
05.01. 11:00,49.787
05.01. 12:00,8.3142
05.01. 13:00,0
05.01. 14:00,0
05.01. 15:00,0
05.01. 16:00,0
05.01. 17:00,0
05.01. 18:00,52.702
05.01. 19:00,73.372
05.01. 20:00,73.34
05.01. 21:00,9.7048
05.01. 22:00,8.168
05.01. 23:00,7.6479
06.01. 00:00,7.5888
06.01. 01:00,7.5699
06.01. 02:00,7.5519
06.01. 03:00,7.5512
06.01. 04:00,7.5511
06.01. 05:00,7.551
06.01. 06:00,8.0641
06.01. 07:00,8.0638
06.01. 08:00,8.0636
06.01. 09:00,6.8986
06.01. 10:00,46.262
06.01. 11:00,50.56197
06.01. 12:00,73.405
06.01. 13:00,73.407
06.01. 14:00,6.0343
06.01. 15:00,0
06.01. 16:00,0
